node,degree,clustering,eigenvector,betweenness,closeness,is_bot
0,347,0.04196165314587463,3.391796172270201e-05,0.1738753663382616,0.35334266713335666,1
1,17,0.41911764705882354,6.045346134948107e-07,0.0,0.2613761408505405,0
2,10,0.8888888888888888,2.2334609371911966e-07,0.0,0.26125776397515527,0
3,17,0.6323529411764706,6.635648083921052e-07,0.0,0.2613761408505405,0
4,10,0.8666666666666667,2.2364157028893605e-07,0.0,0.26125776397515527,0
5,13,0.3333333333333333,1.1833221118435216e-06,0.0,0.2613084837895554,0
6,6,0.9333333333333333,2.1709041695161263e-07,0.0,0.26119016817593793,0
7,20,0.43157894736842106,2.568510124822489e-05,0.0005285681243437586,0.2747686445291236,0
8,8,0.6785714285714286,2.1973746334830285e-07,0.0,0.2612239617026782,0
9,57,0.39724310776942356,2.214116624486093e-06,5.719347008461112e-06,0.2620546433902265,1
10,10,0.8222222222222222,7.708567044092624e-07,0.0,0.26125776397515527,0
11,1,0.0,2.1031233303459666e-07,0.0,0.26110572259941806,0
12,1,0.0,2.1031233303459666e-07,0.0,0.26110572259941806,0
13,31,0.6516129032258065,1.103790547598573e-06,2.035298583162307e-06,0.26161321671525756,0
14,15,0.7428571428571429,2.3055679294325335e-07,5.047822936936305e-06,0.2613423079412336,0
15,1,0.0,2.1031233303459666e-07,0.0,0.26110572259941806,0
16,9,0.6666666666666666,2.616513592117462e-07,6.503963523146408e-07,0.2612408617454875,0
17,13,0.7307692307692307,2.2774170298520142e-07,3.6850877225627715e-06,0.2613084837895554,0
18,1,0.0,2.1031233303459666e-07,0.0,0.26110572259941806,0
19,16,0.2833333333333333,2.3149092118602842e-07,1.610505253350539e-05,0.2613592233009709,0
20,15,0.6857142857142857,2.3038875741121886e-07,0.0,0.2613423079412336,0
21,65,0.3490384615384615,2.5965755464539663e-05,0.0013573694783504577,0.2756125861715924,1
22,11,0.4727272727272727,1.0365420550578182e-06,2.766765435243234e-06,0.2612746683921061,0
23,17,0.16911764705882354,2.327855955467465e-07,3.427485539181916e-05,0.2613761408505405,0
24,16,0.9,2.4875636881516775e-07,0.0,0.2613592233009709,0
25,69,0.2885763000852515,2.0920477409908786e-06,6.807339387664283e-05,0.26225888160031174,1
26,68,0.4113257243195786,2.333621078244131e-06,1.8003632742263255e-05,0.26224184959085595,1
27,5,0.9,3.8500493368810947e-07,0.0,0.2611732746911584,0
28,13,0.7692307692307693,2.276328150659143e-07,3.89156275504361e-06,0.2613084837895554,0
29,13,0.46153846153846156,2.9276633115487333e-07,2.5602904027623953e-06,0.2613084837895554,0
30,17,0.5,9.62912044010581e-07,0.0,0.2613761408505405,0
31,23,0.43478260869565216,1.4530295555049823e-06,1.1149651753965274e-05,0.2614776921582594,0
32,6,1.0,2.172656002138456e-07,0.0,0.26119016817593793,0
33,2,1.0,2.1162712130634827e-07,0.0,0.26112260734609416,0
34,5,0.6,4.074184547679874e-06,0.0035896528440103443,0.3033125516412529,0
35,2,1.0,2.1171402853040497e-07,0.0,0.26112260734609416,0
36,11,0.9636363636363636,2.356058109794917e-07,2.7530004330778444e-07,0.2612746683921061,0
37,1,0.0,2.1031233303459666e-07,0.0,0.26110572259941806,0
38,9,0.3611111111111111,7.219113580673047e-07,0.0,0.2612408617454875,0
39,15,0.49523809523809526,4.869308388829613e-07,0.0,0.2613423079412336,0
40,44,0.4048625792811839,1.7851968170490274e-06,8.94574239645779e-06,0.26183374400207493,1
41,24,0.4673913043478261,2.430097031380907e-07,7.608113339698701e-06,0.26149462504856885,0
42,2,1.0,2.1162712130634827e-07,0.0,0.26112260734609416,0
43,1,0.0,2.1031233303459666e-07,0.0,0.26110572259941806,0
44,6,1.0,2.176613170884422e-07,0.0,0.26119016817593793,0
45,12,0.7272727272727273,7.728864856656585e-07,4.24158709582065e-06,0.2612915749967646,0
46,5,1.0,2.1603795141193674e-07,0.0,0.2611732746911584,0
47,2,1.0,2.1257645405396597e-07,0.0,0.26112260734609416,0
48,22,0.329004329004329,4.831348837967411e-07,0.0,0.26146076146076147,0
49,4,0.5,2.1428263481709508e-07,0.0,0.26115638339154057,0
50,11,0.5636363636363636,4.46282343059978e-07,0.0,0.2612746683921061,0
51,7,0.8571428571428571,2.3934747731679905e-07,0.0,0.2612070638463031,0
